si,gu,year,n_generation,n_arrest
서울특별시,전체,2022,90399,65097
서울특별시,종로구,2022,3138,3284
서울특별시,중구,2022,3071,2119
서울특별시,용산구,2022,2967,2093
서울특별시,성동구,2022,2194,1597
서울특별시,광진구,2022,3619,2498
서울특별시,동대문구,2022,3253,2231
서울특별시,중랑구,2022,3599,2671
서울특별시,성북구,2022,2749,2125
서울특별시,강북구,2022,2832,2343
서울특별시,도봉구,2022,2141,1569
서울특별시,노원구,2022,3896,2641
서울특별시,은평구,2022,3487,2658
서울특별시,서대문구,2022,2374,1605
서울특별시,마포구,2022,4096,2814
서울특별시,양천구,2022,3169,2130
서울특별시,강서구,2022,4663,3591
서울특별시,구로구,2022,3857,2732
서울특별시,금천구,2022,2577,1887
서울특별시,영등포구,2022,4819,3186
서울특별시,동작구,2022,2735,1741
서울특별시,관악구,2022,4879,3411
서울특별시,서초구,2022,4459,3098
서울특별시,강남구,2022,6947,5020
서울특별시,송파구,2022,5167,3409
서울특별시,강동구,2022,3711,2644
